CO,O3,SO2,HCHO,NO2,CO_N,NO2_N,SO2_N,O3_N,AQI,Category,Hotspot
0.0355166781907468,0.1085915335828712,-1.682931301485573e-05,0.00011984358054773892,1.0988211959165186e-05,0.6209576971891404,0.04766054530969476,-0.007909518496147341,0.6749230595067884,168.0,Moderate,Normal
0.038788366260179,0.1119877711661938,8.181980232482712e-05,8.55969429713123e-05,8.966501100296628e-06,0.6781584263396805,0.038891526077968246,0.03845404974451877,0.6960315104598155,181.0,Moderate,Normal
0.0395296121087443,0.1192618631715311,0.00026893079065738816,0.00013003811676693953,1.505318991519011e-05,0.6911180368275789,0.06529208234010671,0.12639333887310045,0.7412417793398429,201.0,Poor,Normal
0.0396044290238156,0.1194657182690411,9.418394844611328e-05,0.00015362898269290104,2.330832296896173e-05,0.6924261022678198,0.10109810286546363,0.04426500841817676,0.7425087888530891,199.0,Moderate,Normal
0.0401514809777099,0.1197734603895574,0.000214105472520377,0.00013274642871637237,2.822463667398254e-05,0.7019905136609305,0.12242224486104808,0.10062628186494667,0.7444214817368254,209.0,Poor,Normal
0.0362266837137956,0.1277425956953229,7.135576450916731e-05,9.684588750467942e-05,8.19775171568548e-06,0.633371115815064,0.035557133274733387,0.03353611277500094,0.7939516154841879,187.0,Moderate,Normal
0.0427436263131262,0.1115778689853216,0.00011014544439505858,7.960844685363083e-05,1.031394485834406e-05,0.7473104219478217,0.04473596232668109,0.05176666622933762,0.6934838677027341,192.0,Moderate,Normal
0.0404726970001922,0.1181774186172895,7.814574849563675e-05,0.00013602504015991775,1.4260113399841775e-05,0.7076065107581148,0.0618521724317174,0.0367273009050284,0.734501690013674,193.0,Moderate,Normal
0.0421229799646048,0.1126523071455849,0.0002149191012300834,0.00012396272815993478,2.1063147630191432e-05,0.7364593191144744,0.09135982321092731,0.10100867485524512,0.700161764832001,203.0,Poor,Normal
0.0214356583451686,0.1342787593690552,0.0005368625078193833,7.124436375155391e-05,8.032397289793317e-06,0.37477145166174086,0.034839920853214836,0.2523171285564125,0.8345754784923108,182.0,Moderate,Normal
0.0353724177627444,0.1219403528684584,1.9095082436349487e-05,0.0001424477713918847,8.617343249406121e-06,0.6184355124654791,0.03737708008489451,0.008974395305526928,0.7578892508457866,179.0,Moderate,Normal
0.0406041639456662,0.1324923806284313,0.0004731433126327364,5.877735100300101e-05,3.880927929614847e-05,0.7099050199621453,0.16833233843727285,0.22237008600966554,0.8234726957496795,239.0,Poor,Normal
0.0412184438066206,0.1298370712417209,0.00024419157480816937,0.00012479629403943857,2.5406988382049857e-05,0.7206448139777717,0.11020090670489513,0.11476628759852679,0.8069692955665702,219.0,Poor,Normal
0.0520614758133737,0.1103170517608308,0.00019255892921747725,0.0001065195588997486,1.1169533697083962e-05,0.9102195300956692,0.048447014749656944,0.09049973762443679,0.6856475789005064,216.0,Poor,Normal
0.0132155491239838,0.1494161892582682,0.0001788524265544715,1.7198439085811134e-05,2.985075947013593e-06,0.23105474298711126,0.012947543053795455,0.08405789200454497,0.9286583241508113,155.0,Moderate,Normal
